base_image,expected_species_id,mode,perturbation,family,raw_top1_label,raw_top1_score,raw_top2_label,raw_top2_score,margin,mapped_top1_kb_id,mapped_top3_kb_ids,in_vocab,route,confident_wrong,latency_ms,failure
aglaonema__01,aglaonema,squash,clean,clean,Chinese evergreen (Aglaonema),0.9062,Dracaena,0.0485,0.8576,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,20,
aglaonema__01,aglaonema,center_crop,clean,clean,Chinese evergreen (Aglaonema),0.9062,Dracaena,0.0485,0.8576,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,16,
aglaonema__01,aglaonema,tta6,clean,clean,Chinese evergreen (Aglaonema),0.9686,Dracaena,0.0163,0.9523,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,115,
aglaonema__01,aglaonema,squash,blur,blur,Schefflera,0.5798,Poinsettia (Euphorbia pulcherrima),0.1602,0.4196,schefflera,"schefflera|euphorbia-pulcherrima|monstera-deliciosa",true,high-conf,true,32,
aglaonema__01,aglaonema,center_crop,blur,blur,Schefflera,0.5798,Poinsettia (Euphorbia pulcherrima),0.1602,0.4196,schefflera,"schefflera|euphorbia-pulcherrima|monstera-deliciosa",true,high-conf,true,24,
aglaonema__01,aglaonema,tta6,blur,blur,Schefflera,0.4236,Tradescantia,0.2322,0.1914,schefflera,"schefflera|tradescantia|euphorbia-pulcherrima",true,low-conf,false,122,
aglaonema__01,aglaonema,squash,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.9858,Dracaena,0.0141,0.9718,aglaonema,"aglaonema|dracaena|pachira-aquatica",true,high-conf,false,30,
aglaonema__01,aglaonema,center_crop,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.9858,Dracaena,0.0141,0.9718,aglaonema,"aglaonema|dracaena|pachira-aquatica",true,high-conf,false,20,
aglaonema__01,aglaonema,tta6,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.8937,Tradescantia,0.0567,0.8370,aglaonema,"aglaonema|tradescantia|dracaena",true,high-conf,false,142,
aglaonema__01,aglaonema,squash,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),1.0000,Begonia (Begonia spp.),0.0000,1.0000,aglaonema,"aglaonema|begonia|monstera-deliciosa",true,high-conf,false,24,
aglaonema__01,aglaonema,center_crop,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),1.0000,Begonia (Begonia spp.),0.0000,1.0000,aglaonema,"aglaonema|begonia|monstera-deliciosa",true,high-conf,false,23,
aglaonema__01,aglaonema,tta6,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),0.9496,Tradescantia,0.0498,0.8999,aglaonema,"aglaonema|tradescantia|dracaena",true,high-conf,false,112,
aglaonema__01,aglaonema,squash,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.5967,Begonia (Begonia spp.),0.3215,0.2752,aglaonema,"aglaonema|begonia|monstera-deliciosa",true,low-conf,false,17,
aglaonema__01,aglaonema,center_crop,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.5967,Begonia (Begonia spp.),0.3215,0.2752,aglaonema,"aglaonema|begonia|monstera-deliciosa",true,low-conf,false,17,
aglaonema__01,aglaonema,tta6,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.8284,Begonia (Begonia spp.),0.1072,0.7212,aglaonema,"aglaonema|begonia|tradescantia",true,high-conf,false,103,
aglaonema__01,aglaonema,squash,rotate_-15,rotate,Tradescantia,0.9793,Schefflera,0.0146,0.9647,tradescantia,"tradescantia|schefflera|aglaonema",true,high-conf,true,22,
aglaonema__01,aglaonema,center_crop,rotate_-15,rotate,Tradescantia,0.9793,Schefflera,0.0146,0.9647,tradescantia,"tradescantia|schefflera|aglaonema",true,high-conf,true,21,
aglaonema__01,aglaonema,tta6,rotate_-15,rotate,Chinese evergreen (Aglaonema),0.4262,Tradescantia,0.3603,0.0659,aglaonema,"aglaonema|tradescantia|dracaena",true,low-conf,false,105,
aglaonema__01,aglaonema,squash,rotate_+90,rotate,Chinese evergreen (Aglaonema),1.0000,Monstera Deliciosa (Monstera deliciosa),0.0000,1.0000,aglaonema,"aglaonema|monstera-deliciosa|goeppertia-orbifolia",true,high-conf,false,23,
aglaonema__01,aglaonema,center_crop,rotate_+90,rotate,Chinese evergreen (Aglaonema),1.0000,Monstera Deliciosa (Monstera deliciosa),0.0000,1.0000,aglaonema,"aglaonema|monstera-deliciosa|goeppertia-orbifolia",true,high-conf,false,19,
aglaonema__01,aglaonema,tta6,rotate_+90,rotate,Chinese evergreen (Aglaonema),1.0000,Monstera Deliciosa (Monstera deliciosa),0.0000,1.0000,aglaonema,"aglaonema|monstera-deliciosa|dracaena",true,high-conf,false,125,
aglaonema__01,aglaonema,squash,rotate_-90,rotate,Dracaena,0.5332,Chinese evergreen (Aglaonema),0.4224,0.1108,dracaena,"dracaena|aglaonema|monstera-deliciosa",true,low-conf,false,23,
aglaonema__01,aglaonema,center_crop,rotate_-90,rotate,Dracaena,0.5332,Chinese evergreen (Aglaonema),0.4224,0.1108,dracaena,"dracaena|aglaonema|monstera-deliciosa",true,low-conf,false,16,
aglaonema__01,aglaonema,tta6,rotate_-90,rotate,Chinese evergreen (Aglaonema),0.7252,Dracaena,0.2566,0.4686,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,110,
aglaonema__01,aglaonema,squash,bright_up,brightness,Chinese evergreen (Aglaonema),0.8881,Dracaena,0.0729,0.8152,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,15,
